,MT,R1,R2*,ISOVF,ICVF,OD,MD,FA,g-ratio
WMH_center,1.145045452647739,847.6935729980469,0.029951784138878185,0.388073667883873,0.5931289196014404,0.4160718694329262,0.0016375207425114485,0.41026412745316826,0.7924961447715759
InnerLayer2,1.282862663269043,899.2146606445312,0.022225901046219992,0.4379841089248657,0.5650450737759618,0.47476980090141296,0.0017402956145815551,0.45666797001296716,0.8318508327007293
InnerLayer1,1.8626296520233154,1036.6615600585938,0.025378435521441346,0.5844871699810028,0.5723681151866913,0.5372735410928726,0.0017419521464034915,0.5676098806517464,0.8633969691064622
Layer1,1.5792201161384583,994.2287801106771,0.027272792702371425,0.39857926964759827,0.5877957908285967,0.49409883552127415,0.0014004367170855404,0.5385458990931511,0.8104998263028952
Layer2,1.6499681354676239,1038.1055190142463,0.026216781170417865,0.31510633549519945,0.6237842175093564,0.47504314333200454,0.0013077931413944396,0.5427044356862704,0.7895773593117209
Layer3,1.7239609748125075,1077.4342077346075,0.026743852754391857,0.3146153704396316,0.646430825213631,0.42136656725779176,0.0012288552209022729,0.575173812068027,0.7971794122096264
Layer4,1.7565647046845239,1086.548918852935,0.02734823387803279,0.26384035629049246,0.6589623670899466,0.3693858665915636,0.0011646340343369438,0.6011710315942764,0.7851509318496641
Layer5,1.7669002440907686,1087.2978557339675,0.027331982211520275,0.24467266555377887,0.6636028407239561,0.3485394041922133,0.0011126399018005504,0.6067444459229958,0.7806257780785213
WM_left,2.366453918604674,1024.2551331267662,0.02395520626535532,0.20496468459049874,0.6056606479985204,0.4049694173059963,0.0008884422243983835,0.4348048438925122,0.7438367998767527
