Metric,logVol:I(LayerPos ** 2),logVol:I(LayerPos ** 3),logVol:LayerPos
FA,1.8539770064507215e-28,1.5827041648539738e-42,1.0908733926810101e-05
ICVF,5.5954651689114954e-99,7.237468677465436e-141,1.8684520655193637e-12
ISOVF,5.515919967167873e-33,5.876402519804504e-37,4.575868866239369e-16
MD,7.363959401114089e-83,1.9344536703693907e-114,4.457059069157573e-13
MT,2.2817610724937442e-259,2.1534684241036792e-223,9.643934029122377e-276
OD,0.004358487078121717,0.005099662445176324,4.9006450433443736e-05
R1,1.4298978939136145e-281,6.7698420241332084e-248,1.0388238113642682e-289
R2*,9.908059474489496e-187,2.27314793237043e-162,4.886961837378134e-207
g-ratio,8.253529991210579e-50,5.6520749314473585e-11,3.2470509883145565e-239
