Metric,Layer,Beta_Age_raw,PctChangePerDecade,p_Age_raw,PartialR2_Age,p_Age_FDR
MT,Centre,-0.0018935512565864138,-2.310748512749374,0.3497688740439271,0.008748255440275016,0.40618320856714113
MT,Inner2,0.0015778715162278801,1.9130371221074312,0.04914418910576859,0.016232148710014938,0.06938003167873213
MT,Inner1,-0.0002862256293689732,-0.29241737629299247,0.6205216654657826,0.000757471031196587,0.6980868736490055
MT,Outer1,-0.002186942902723932,-1.742485198347593,5.842391464606783e-06,0.0615163376660898,1.450524777419615e-05
MT,Outer2,-0.002893330614289996,-2.0659739013455964,1.5293506967785766e-11,0.1311933674499712,1.1011325016805751e-10
MT,Outer3,-0.0027386215164427233,-1.869036210318433,5.377796380540123e-12,0.13667595065052085,4.3022371044320986e-11
MT,Outer4,-0.0027131178523789167,-1.8226960565808328,2.376361169656543e-13,0.15285904159547245,2.138725052690889e-12
MT,Outer5,-0.0027617671861828036,-1.8415072521538765,1.1517022100090158e-14,0.168302371371884,1.382042652010819e-13
R1,Centre,-0.31645284061407297,-0.5033363178675516,0.732137446619992,0.00117675986815759,0.7986953963127186
R1,Inner2,0.3453337410897208,0.5355418453093057,0.3162889201185354,0.0042372043062355105,0.3733246270251565
R1,Inner1,-0.404960265825809,-0.5589915872808277,0.09021184725149949,0.008834262238994695,0.11809550912923569
R1,Outer1,-0.941506036274468,-1.1039206411726603,1.4594682058821332e-05,0.05642770200486206,3.3897326072101155e-05
R1,Outer2,-1.100458442310564,-1.1999833797628805,8.689647682277214e-09,0.0972965458429554,3.475859072910886e-08
R1,Outer3,-0.9726031873510602,-1.0301571735118593,8.186153423159129e-08,0.08506861141297337,2.947015232337286e-07
R1,Outer4,-0.9026439457841775,-0.9478885131230222,1.3530754068583372e-07,0.0823134482381089,4.6391156806571557e-07
R1,Outer5,-0.8711784209950587,-0.9124220149504739,2.1502125174093563e-07,0.07976923109982555,6.590799716336812e-07
R2s,Centre,-1.6353395947248185e-05,-1.2855927506726161,0.510393671885077,0.004344841956181443,0.5833070535829451
R2s,Inner2,1.8681857981659385e-06,0.1386819562633664,0.8619381343778517,0.00012787241928323236,0.8865649382172189
R2s,Inner1,-4.1589707236262463e-07,-0.025990675288465655,0.9527974860809244,1.0831288110560127e-05,0.9550744076587248
R2s,Outer1,-1.580901615820818e-05,-0.8313709754938706,0.016653184655069247,0.017564290072230582,0.026065854242717085
R2s,Outer2,-2.5071826155979888e-05,-1.220151179589833,4.711549856287485e-05,0.04990386703241645,9.977399695667616e-05
R2s,Outer3,-2.7999531044612348e-05,-1.3221693413793443,2.030501113871829e-06,0.06737769436030291,5.22128857852756e-06
R2s,Outer4,-2.7409555412850533e-05,-1.2851255494865674,6.419457082294487e-07,0.07374433530131337,1.777695807404627e-06
R2s,Outer5,-2.5572184600068266e-05,-1.1972206625129571,5.378584895907942e-07,0.07472036667948569,1.5490324500214874e-06
ISOVF,Centre,0.0011917975451224835,5.717741574208767,0.08796785956303937,0.029121850364638657,0.11729047941738584
ISOVF,Inner2,0.0013045786088748336,6.897444710979022,7.523698458657468e-06,0.08264208885669234,1.805687630077792e-05
ISOVF,Inner1,0.0022872416518880424,12.038918728676142,3.266991975252963e-14,0.16534672860264493,3.3603346031173333e-13
ISOVF,Outer1,0.0018203879615328376,12.215352695387168,5.5245257857206937e-17,0.1976519053016885,7.955317131437798e-16
ISOVF,Outer2,0.0015107271082048072,11.999430516090829,1.463933945373279e-19,0.2266278006396736,2.6350811016719025e-18
ISOVF,Outer3,0.0012695486971344338,11.395586651817526,3.8273036751380565e-20,0.23303999418047833,9.185528820331337e-19
ISOVF,Outer4,0.0011494869057596293,11.081849180816226,2.3278734176258958e-22,0.2569645585847318,8.380344303453226e-21
ISOVF,Outer5,0.0010769838592548145,10.844495935164131,9.462694388956038e-23,0.26111006277645876,6.813139960048347e-21
ICVF,Centre,0.001172177123287368,4.406909520207435,0.1359900067786828,0.022312858985914775,0.17484429442973504
ICVF,Inner2,0.0012541540126919505,4.13477248087869,4.907250206936856e-05,0.06844139400414419,0.00010094914711412962
ICVF,Inner1,0.0012128258590126083,3.3139000608977085,2.196933238778937e-07,0.08084947424545803,6.590799716336812e-07
ICVF,Outer1,0.0009211864084110388,2.0860601412868354,1.2784225655954243e-06,0.0709963216184383,3.409126841587798e-06
ICVF,Outer2,0.0006359204106271822,1.282037562416322,4.015436252475663e-05,0.05157067974801292,8.760951823583265e-05
ICVF,Outer3,0.0004908918066792117,0.9239445839729226,0.00034045574687464414,0.03949252844627382,0.0006809114937492883
ICVF,Outer4,0.00040132942439516687,0.731631534348593,0.0016149003665331307,0.03073482676902646,0.003059811220799616
ICVF,Outer5,0.00037178774585059314,0.6675469246492592,0.002341563197943021,0.028656417401648527,0.004322885903894808
OD,Centre,-0.0002722598140340065,-1.597518601119967,0.7841701990040941,0.0007612735217748494,0.8302978577690409
OD,Inner2,0.0004180864729945031,2.271635025321923,0.17354882852893905,0.007933998967194954,0.21543992507040707
OD,Inner1,0.0005364736290970341,2.6058207171046246,0.03299436337745861,0.014171954877360633,0.0484815135342249
OD,Outer1,0.0005415125716970843,2.650747895333372,0.00963007659697529,0.020822688900070226,0.015758307158686837
OD,Outer2,0.0004338414123227117,2.11434694304429,0.013676010676183499,0.01890679643607454,0.0218816170818936
OD,Outer3,0.00030062866171409497,1.4517510318004132,0.0397475165934312,0.013188917059485085,0.05723642389454092
OD,Outer4,0.000220766492200176,1.0386653289890613,0.07866771264605392,0.009661676513317015,0.10686934548143173
OD,Outer5,0.0001612952049860142,0.7376343022070531,0.1460323575798017,0.006612917781872231,0.18446192536396006
MD,Centre,-4.103471070453527e-07,-0.31467453306346455,0.8252701840415344,0.000494695003879888,0.8611514963911663
MD,Inner2,-2.185424418390338e-07,-0.1766838577950747,0.7038971425596656,0.0006210933979866038,0.7797014502199373
MD,Inner1,1.539705311448004e-06,1.3163538369198713,0.0014413347386752213,0.031372049592935,0.0028047594914761068
MD,Outer1,1.4192673444302324e-06,1.3854092204875261,3.806566387067456e-05,0.051872580298037714,8.564774370901777e-05
MD,Outer2,1.5124744116531896e-06,1.617444552660814,2.6410584113781033e-08,0.09261461780929174,1.0008221348380181e-07
MD,Outer3,1.3898523037480812e-06,1.57943998451661,2.7000031341165407e-09,0.10515957331925661,1.1435307391552408e-08
MD,Outer4,1.320586845406899e-06,1.5493684607299036,7.861856356235487e-11,0.12434409018551058,4.354258904991962e-10
MD,Outer5,1.2462554999028019e-06,1.486803758318404,3.6885220288019916e-11,0.12840519000310766,2.213113217281195e-10
FA,Centre,0.00034423316376677336,1.398273276665934,0.7488954761447121,0.001039663774970277,0.8047831982450637
FA,Inner2,0.00038932996838112735,1.4555286666822704,0.24300227656712955,0.005845590538291294,0.29160273188055547
FA,Inner1,1.4571537283625556e-05,0.04842462040994667,0.9550744076587248,9.964481582281374e-06,0.9550744076587248
FA,Outer1,-0.0002875822196519081,-0.7981698682705846,0.21478542785331928,0.004819968219453856,0.2621110306006608
FA,Outer2,-0.0004461381109800134,-1.1104654118935446,0.029009209468381106,0.014855743247391107,0.04351381420257166
FA,Outer3,-0.00045970704280238507,-1.0753874449045904,0.009288150729656405,0.021020926932985948,0.015552252384540957
FA,Outer4,-0.000438631933557907,-1.0070993010586138,0.004047232184350226,0.025608202406469084,0.007285017931830406
FA,Outer5,-0.00039114672042867655,-0.8961578311394306,0.004575834876483583,0.024926927007299447,0.008035612466019951
g_ratio,Centre,0.0012488084560305264,1.8724957013023094,0.00857347526750358,0.06774147450799238,0.01469738617286328
g_ratio,Inner2,0.0003252575189542331,0.47301965548178904,0.06938856810490891,0.014082308739544023,0.09607647891448927
g_ratio,Inner1,0.0002941228242332823,0.42800965265371077,0.020624621692527736,0.016682568884224945,0.031595165145999936
g_ratio,Outer1,0.0005033447145405504,0.7376652717983861,1.4327720952467125e-07,0.08323146061098813,4.6890723117165133e-07
g_ratio,Outer2,0.0004933133446367605,0.7191867569444227,1.0912632568790545e-10,0.12257959121453287,5.612211035377995e-10
g_ratio,Outer3,0.00042735007956453536,0.6180696564113315,2.231633444743879e-10,0.11871957631591323,1.0042350501347456e-09
g_ratio,Outer4,0.0003975347300542761,0.5721724094126794,1.7745943825657418e-10,0.11995757712766769,8.518053036315561e-10
g_ratio,Outer5,0.000404579132718903,0.5809004013417945,1.7892721086227358e-11,0.13227218789510461,1.1711599256439724e-10
