DWM_frontal,DWM_occipital,DWM_parietal,DWM_temporal,PVWM_frontal,PVWM_occipital,PVWM_parietal,PVWM_temporal,SWM_frontal,SWM_occipital,SWM_parietal,SWM_temporal
1.0,0.15616481528477047,0.28862912492690435,0.0013393856948114608,0.14921233635438766,0.15144336950155457,0.2024052814441651,0.018999944119157883,0.8678982146294311,0.2331925463541565,0.07383871384233305,0.0060001912902768245
0.15616481528477047,1.0,0.01506110702643606,6.730524324619206e-05,0.9546074868008011,0.9546074868008011,0.8678982146294311,0.0002835838686024435,0.09996748793244861,0.9323381451910238,0.0017100510208446378,0.00021819991854149807
0.28862912492690435,0.01506110702643606,1.0,0.018799158375926894,0.010395653926930011,0.01121946697889781,0.016824420456168186,0.23213689995628156,0.4717061133302052,0.03201045497752548,0.47179887463083653,0.06289975795407815
0.0013393856948114608,6.730524324619206e-05,0.018799158375926894,1.0,6.730524324619206e-05,6.730524324619206e-05,6.730524324619206e-05,0.15952599234396786,0.0030355237443941566,0.00015929434561193147,0.09805071535673078,0.8015644522359595
0.14921233635438766,0.9546074868008011,0.010395653926930011,6.730524324619206e-05,1.0,0.9894072993579609,0.9301947610593492,0.00015929434561193147,0.09262413036721982,0.9554438876057755,0.000981347772742714,0.00015929434561193147
0.15144336950155457,0.9546074868008011,0.01121946697889781,6.730524324619206e-05,0.9894072993579609,1.0,0.9301947610593492,0.00015929434561193147,0.09485144478896743,0.9554438876057755,0.0010950054237268418,0.00015929434561193147
0.2024052814441651,0.8678982146294311,0.016824420456168186,6.730524324619206e-05,0.9301947610593492,0.9301947610593492,1.0,0.00022430204073244656,0.13184674260151633,0.9554438876057755,0.0017100510208446378,0.00021819991854149807
0.018999944119157883,0.0002835838686024435,0.23213689995628156,0.15952599234396786,0.00015929434561193147,0.00015929434561193147,0.00022430204073244656,1.0,0.04835152086816183,0.000981347772742714,0.7989459944094526,0.3472872909148916
0.8678982146294311,0.09996748793244861,0.4717061133302052,0.0030355237443941566,0.09262413036721982,0.09485144478896743,0.13184674260151633,0.04835152086816183,1.0,0.15741535742416346,0.13556028562168423,0.01236306476873495
0.2331925463541565,0.9323381451910238,0.03201045497752548,0.00015929434561193147,0.9554438876057755,0.9554438876057755,0.9554438876057755,0.000981347772742714,0.15741535742416346,1.0,0.004805855222817269,0.0004430112758401516
0.07383871384233305,0.0017100510208446378,0.47179887463083653,0.09805071535673078,0.000981347772742714,0.0010950054237268418,0.0017100510208446378,0.7989459944094526,0.13556028562168423,0.004805855222817269,1.0,0.21315643476524154
0.0060001912902768245,0.00021819991854149807,0.06289975795407815,0.8015644522359595,0.00015929434561193147,0.00015929434561193147,0.00021819991854149807,0.3472872909148916,0.01236306476873495,0.0004430112758401516,0.21315643476524154,1.0
