Metric,Effect,Layer,Interaction_coef,Layer_slope,Pval_raw,Pval_FDR
FA,Age×Inner2,Inner2,0.2885498106611677,0.09469417815459433,2.5464932242546776e-14,1.6667955649666979e-13
FA,Age×Inner1,Inner1,0.1564017605318487,-0.03745387197472466,4.954852352361442e-08,1.6988065208096372e-07
FA,Age×Outer1,Outer1,0.20094638260910386,0.007090750102530491,2.4529041594222917e-12,1.261493567702893e-11
FA,Age×Outer2,Outer2,0.15100965421873871,-0.04284597828783465,1.4024425681810023e-07,4.5898120413196437e-07
FA,Age×Outer3,Outer3,0.07954317029492892,-0.11431246221164444,0.0055497719151284845,0.010799556159168944
FA,Age×Outer4,Outer4,0.023064692418163498,-0.17079094008840986,0.4213121366199294,0.5416870327970521
g_ratio,Age_main,Outer5,0.0,0.550945793732517,2.444045197503703e-14,1.6667955649666979e-13
g_ratio,Age×Center,Center,-0.12317854605243984,0.4277672476800771,0.5648853955071235,0.6559959431695627
g_ratio,Age×Inner2,Inner2,-0.746554230392986,-0.195608436660469,4.585921660027897e-34,1.1006211984066953e-32
g_ratio,Age×Inner1,Inner1,-0.48211161256307633,0.06883418116944062,3.4367324101307975e-25,4.9488946705883484e-24
g_ratio,Age×Outer1,Outer1,-0.12748362498073137,0.42346216875178555,0.0061102138400056984,0.01157724727580027
g_ratio,Age×Outer2,Outer2,-0.030001619943945398,0.5209441737885716,0.5187659125086267,0.622519095010352
g_ratio,Age×Outer3,Outer3,0.007039279699387738,0.5579850734319047,0.8796643407724583,0.9453109333674178
g_ratio,Age×Outer4,Outer4,0.005849047778454978,0.5567948415109719,0.8998932032857884,0.9528280975967172
