pair_key,p_FDR_WMH,dz_WMH,r_WMH,n_used_WMH,p_FDR_NAWM,dz_NAWM,r_NAWM,n_used_NAWM,p_FDR_Pct,dz_Pct,r_Pct,n_used_Pct
PVWM_temporal vs SWM_parietal,5.71e-09,-0.67,-0.57,109,3.46e-58,5.58,0.87,347,2.29e-17,-0.67,-0.82,110
PVWM_temporal vs SWM_temporal,1.36e-08,-1.63,-0.84,47,1.85e-57,4.47,0.87,341,2.48e-09,-1.04,-0.86,49
DWM_frontal vs SWM_frontal,9.02e-11,0.55,0.55,148,1.85e-57,-4.39,-0.87,341,8.34e-23,0.54,0.83,149
DWM_occipital vs SWM_frontal,3.63e-03,-0.32,-0.31,93,2.42e-57,-6.21,-0.87,340,1.75e-10,0.53,0.68,91
DWM_parietal vs SWM_frontal,4.92e-01,0.04,0.06,133,1.85e-57,-8.6,-0.87,341,3.64e-17,0.49,0.75,130
DWM_temporal vs SWM_frontal,4.09e-10,-2.04,-0.87,54,1.85e-57,-10.24,-0.87,341,6.09e-02,-0.21,-0.27,52
SWM_frontal vs SWM_occipital,3.33e-03,-0.38,-0.33,82,2.42e-57,-8.49,-0.87,340,8.36e-01,-0.23,-0.02,80
SWM_frontal vs SWM_parietal,1.31e-12,-0.83,-0.68,115,1.85e-57,-7.82,-0.87,341,2.13e-06,-0.29,-0.46,111
SWM_frontal vs SWM_temporal,1.58e-09,-1.81,-0.85,52,2.13e-56,-13.29,-0.87,334,2.14e-08,-0.83,-0.8,50
DWM_frontal vs SWM_occipital,2.18e-09,0.82,0.66,85,3.45e-28,0.72,0.59,347,8.28e-10,0.6,0.68,85
DWM_occipital vs SWM_occipital,1.52e-03,0.28,0.3,117,3.46e-58,-4.78,-0.87,347,1.33e-19,0.58,0.84,120
DWM_parietal vs SWM_occipital,1.24e-05,0.57,0.5,80,4.04e-58,-2.48,-0.87,346,2.68e-10,0.63,0.72,80
DWM_temporal vs SWM_occipital,5.21e-03,-0.5,-0.46,38,3.46e-58,-4.83,-0.87,347,6.40e-01,0.18,0.08,39
SWM_occipital vs SWM_parietal,5.16e-01,0.1,0.08,71,4.04e-58,4.88,0.87,346,8.32e-01,0.16,-0.03,72
SWM_occipital vs SWM_temporal,1.66e-03,-0.6,-0.52,38,2.43e-57,2.97,0.87,340,2.23e-04,-0.59,-0.6,39
DWM_frontal vs SWM_parietal,9.86e-17,1.2,0.79,118,6.12e-57,-1.5,-0.85,347,2.91e-19,0.65,0.84,118
DWM_occipital vs SWM_parietal,3.59e-01,0.09,0.11,80,4.04e-58,-5.14,-0.87,346,2.93e-11,0.6,0.76,81
DWM_parietal vs SWM_parietal,4.50e-15,1.04,0.74,120,3.46e-58,-5.62,-0.87,347,6.33e-20,0.57,0.86,119
DWM_temporal vs SWM_parietal,2.01e-08,-1.22,-0.78,53,3.46e-58,-7.4,-0.87,347,8.57e-01,-0.06,0.02,54
DWM_frontal vs SWM_temporal,1.22e-09,2.11,0.86,52,5.14e-38,-0.86,-0.7,341,5.83e-10,0.82,0.87,53
DWM_occipital vs SWM_temporal,2.25e-05,0.85,0.67,42,2.42e-57,-4.88,-0.87,340,1.87e-08,0.74,0.87,43
DWM_parietal vs SWM_temporal,2.23e-09,1.94,0.87,49,2.42e-57,-5.27,-0.87,340,1.99e-09,0.9,0.87,49
DWM_temporal vs SWM_temporal,8.42e-01,0.02,0.03,40,1.85e-57,-7.69,-0.87,341,8.24e-08,0.62,0.84,42
SWM_parietal vs SWM_temporal,4.84e-06,0.92,0.67,48,2.42e-57,2.96,0.87,340,7.08e-07,0.73,0.72,48
