Metric,Lin_R2,Quad_R2,Cub_R2,Lin_AIC,Quad_AIC,Cub_AIC,Lin_BIC,Quad_BIC,Cub_BIC,Best BIC,Best AIC,Best R2
MT,0.715356109087852,0.7901326560928891,0.8019984002806873,-10654.431147957794,-11493.882503243363,-11652.574153820025,-10642.584451533934,-11476.112458607573,-11628.880760972304,Cub_BIC,Cub_AIC,Cub_R2
R1,0.6904637346331979,0.8022654472423469,0.8151405827294531,23291.760146302604,22056.41862936174,21872.52088856926,23303.606842726465,22074.18867399753,21896.21428141698,Cub_BIC,Cub_AIC,Cub_R2
R2*,0.6423879502548868,0.7512467478939965,0.7540130443979325,-34509.32489079512,-35509.53279611252,-35538.40889684204,-34497.47819437126,-35491.76275147673,-35514.71550399432,Cub_BIC,Cub_AIC,Cub_R2
ISOVF,0.40306992753955817,0.40340071264801536,0.40431241512623806,-16171.22907910627,-16170.735105171401,-16172.89030669854,-16159.414511887417,-16153.013254343123,-16149.261172260834,Lin_BIC,Cub_AIC,Cub_R2
ICVF,0.7304572987691862,0.793759191683266,0.806128258999766,-16138.77620439425,-16864.069191290917,-17030.109247994747,-16126.961637175396,-16846.34734046264,-17006.48011355704,Cub_BIC,Cub_AIC,Cub_R2
OD,0.1440706830280033,0.17247936947504083,0.23048641187521413,-16650.20468488122,-16739.913653553755,-16935.372787581437,-16638.39011766237,-16722.191802725476,-16911.74365314373,Cub_BIC,Cub_AIC,Cub_R2
MD,0.7553820689214361,0.7747549094471975,0.7792435936175793,-50516.887123583474,-50737.659878171595,-50790.00882794005,-50505.08510947949,-50719.95685701562,-50766.40479973208,Cub_BIC,Cub_AIC,Cub_R2
FA,0.4535894123936286,0.5558209071210087,0.5992395082197719,-15437.50702069008,-15994.792693145377,-16270.525147367778,-15425.705006586095,-15977.089671989399,-16246.921119159808,Cub_BIC,Cub_AIC,Cub_R2
g-ratio,0.05206787300948046,0.05821875986389469,0.05887073708244006,-20373.954047682215,-20389.64140587447,-20389.522984601354,-20362.139480463364,-20371.91955504619,-20365.893850163648,Quad_BIC,Quad_AIC,Cub_R2
