Metric,Deg1_R2,Deg1_AIC,Deg1_BIC,Deg2_R2,Deg2_AIC,Deg2_BIC,Deg3_R2,Deg3_AIC,Deg3_BIC,Deg4_R2,Deg4_AIC,Deg4_BIC,Deg5_R2,Deg5_AIC,Deg5_BIC,Deg6_R2,Deg6_AIC,Deg6_BIC,Best_R2,Best_AIC,Best_BIC
MT,0.7171544939721942,-8797.380573577739,-8785.894901666878,0.7796668975484806,-9371.078134627238,-9353.849626760946,0.8008718688789523,-9602.325719525512,-9579.35437570379,0.8197429694336513,-9829.822382005563,-9801.108202228408,0.8197684758651266,-9828.148563371833,-9793.691547639248,0.8215869358332623,-9849.523159188973,-9809.323307500958,6,6,6
R1,0.7196380460341087,19435.96135699907,19447.44702890993,0.802702518211289,18628.056246465312,18645.284754331606,0.818857743009678,18433.140149955543,18456.111493777265,0.8373598182341538,18186.79395051184,18215.508130288996,0.8374392117837564,18187.66847948093,18222.125495213513,0.8391382005635536,18165.45121506842,18205.651066756436,6,6,6
R2*,0.6508435057572732,-28665.365370904085,-28653.879698993223,0.749241158226117,-29426.38615961041,-29409.157651744117,0.7570364489852967,-29497.178638778983,-29474.20729495726,0.7722337047814674,-29644.061709693546,-29615.34752991639,0.7727496061126012,-29647.288564471815,-29612.831548739232,0.7731827698112322,-29649.686335091345,-29609.48648340333,6,6,4
ISOVF,0.3303572273105131,-13500.267608318663,-13488.812538097713,0.3385511279946163,-13526.215179884379,-13509.032574552952,0.3481314785955677,-13557.334031029883,-13534.423890587981,0.3492016297407101,-13559.063677743863,-13530.426002191485,0.35202549974290565,-13566.934834051044,-13532.569623388192,0.3563044872876109,-13579.97480116584,-13539.88205539251,6,6,6
ICVF,0.7654472827898958,-13566.29299677115,-13554.837926550199,0.8123893256208654,-14071.2099538993,-14054.027348567874,0.8199470273145159,-14162.547437844776,-14139.637297402875,0.8233326127104322,-14203.637266618282,-14174.999591065904,0.8233332052568227,-14201.644880262103,-14167.279669599251,0.8234444984342786,-14201.075342177022,-14160.982596403694,6,4,4
OD,0.04543749589764701,-13995.110910867881,-13983.65584064693,0.04995478167500944,-14003.878753318144,-13986.696147986717,0.057604525134410056,-14020.230728412047,-13997.320587970145,0.0576399248154883,-14018.315999179447,-13989.67832362707,0.05947730167051246,-14020.746276882837,-13986.381066219985,0.060784638551307,-14021.903796817549,-13981.81105104422,6,6,3
MD,0.7219092199782065,-42201.29176950843,-42189.83669928748,0.760729408468971,-42540.59197536215,-42523.40937003072,0.7717872878819607,-42646.00145576581,-42623.0913153239,0.7755880995981645,-42682.12596407027,-42653.488288517896,0.7762590485318379,-42686.92299865803,-42652.55778799518,0.7782488842517357,-42705.20150620192,-42665.10876042859,6,6,6
FA,0.5750407110938165,-13262.5710391846,-13251.11596896365,0.6127797130877392,-13471.680189324574,-13454.497583993147,0.6269302072636127,-13554.188280233338,-13531.278139791437,0.630207619693024,-13572.218306679037,-13543.580631126659,0.6306071632597685,-13572.672262640059,-13538.307051977206,0.6311701137996999,-13574.134355945078,-13534.04161017175,6,6,4
g-ratio,0.0455780830604553,-16907.95741249946,-16896.50234227851,0.04559091285582906,-16905.98792712903,-16888.805321797605,0.05061574353651421,-16915.970732059355,-16893.060591617454,0.06791724278488087,-16955.720611385015,-16927.082935832637,0.07073068598324472,-16960.58284988642,-16926.217639223567,0.07098300902240484,-16959.199303121724,-16919.106557348397,6,5,4
