Metric,Lin_R2,Quad_R2,Cub_R2,Lin_AIC,Quad_AIC,Cub_AIC,Lin_BIC,Quad_BIC,Cub_BIC,Best BIC,Best AIC,Best R2
MT,0.7155105831125299,0.783446972376449,0.8007600908092728,-8609.642000956665,-9212.028241356255,-9394.59483588673,-8598.235985591706,-9194.919218308816,-9371.782805156812,Cub_BIC,Cub_AIC,Cub_R2
R1,0.7205451965431393,0.8082269724717146,0.8211004525726474,18509.42477340563,17677.415142465255,17525.499081392445,18520.83078877059,17694.524165512692,17548.311112122363,Cub_BIC,Cub_AIC,Cub_R2
R2*,0.669268848875697,0.7691193312399454,0.7772988402649321,-27786.279540395073,-28580.361220003422,-28658.256734555478,-27774.873525030114,-28563.252196955986,-28635.44470382556,Cub_BIC,Cub_AIC,Cub_R2
ISOVF,0.2948904310345736,0.30431684750152066,0.3083366379548439,-13121.301026184823,-13148.641410070577,-13159.274400631504,-13109.926865873256,-13131.580169603227,-13136.526080008372,Cub_BIC,Cub_AIC,Cub_R2
ICVF,0.7095233767394193,0.7600556910086818,0.7616056387992511,-12917.727248550123,-13332.360677484301,-13344.488316412378,-12906.353088238557,-13315.29943701695,-13321.739995789247,Cub_BIC,Cub_AIC,Cub_R2
OD,0.02069315955883899,0.02801387188931026,0.03952538605134137,-13655.49248622529,-13669.850078873438,-13693.822557553814,-13644.118325913723,-13652.788838406088,-13671.074236930683,Cub_BIC,Cub_AIC,Cub_R2
MD,0.6760183127386478,0.7201562625657905,0.7227806001851613,-40668.6136659392,-40985.88693193694,-41004.42714704767,-40657.23950562764,-40968.82569146959,-40981.67882642453,Cub_BIC,Cub_AIC,Cub_R2
FA,0.5852779459467217,0.6187789708049166,0.6283619928932233,-13050.560885114577,-13232.18056409493,-13285.681303359177,-13039.18672480301,-13215.11932362758,-13262.932982736045,Cub_BIC,Cub_AIC,Cub_R2
g-ratio,0.005624339003081347,0.006353907325632124,0.028131996416849936,-16218.30400069183,-16217.904042554172,-16264.215247562153,-16206.929840380264,-16200.842802086821,-16241.466926939022,Cub_BIC,Cub_AIC,Cub_R2
