Region,Outcome,Metric,n_trimmed,n_no_outlier_trim,beta_std_z_reg_trimmed,p_z_reg_trimmed,beta_raw_trimmed,beta_std_from_raw_trimmed,p_raw_trimmed,beta_raw_no_outlier_trim,beta_std_no_outlier_trim,p_raw_no_outlier_trim
NAWM,log_pct_WMH,FA,357,358,-0.6476374642083007,7.891163015274224e-44,-94.00585668782679,-0.6476374642083006,7.891163015274676e-44,-87.31015420134521,-0.6289369238834566,8.056121819852241e-41
NAWM,log_pct_WMH,ICVF,353,358,-0.3401290442683197,5.220076318943746e-11,-45.59552972154652,-0.3401290442683199,5.220076318943746e-11,-43.54101008598529,-0.3443504648282476,2.1043299527571346e-11
NAWM,log_pct_WMH,ISOVF,356,358,0.7337500354273443,2.1747191665619913e-61,127.49388953523598,0.7337500354273445,2.1747191665621775e-61,106.08890305308175,0.679801616202257,7.1228920845485415e-50
NAWM,log_pct_WMH,MD,355,358,0.699035928830255,2.347271234338154e-53,60659.68726299683,0.6990359288302546,2.3472712343385886e-53,51293.227289343755,0.6566774417654682,1.535838194500856e-45
NAWM,log_pct_WMH,MT,357,358,-0.6962390776703854,4.632811796435495e-53,-19.490272008723498,-0.6962390776703852,4.632811796436221e-53,-19.277727624640054,-0.6956650880030892,4.379008355792157e-53
NAWM,log_pct_WMH,OD,356,358,0.4339206974624291,8.888699832533142e-18,131.61792322398048,0.43392069746242873,8.888699832533142e-18,87.46098625548525,0.3657359959395004,9.006699688283895e-13
NAWM,log_pct_WMH,R1,356,358,-0.6205289226975901,2.859698942371316e-39,-0.043412706709167366,-0.6205289226975902,2.8596989423711122e-39,-0.042423142199328405,-0.6197553819843937,2.3173521409610207e-39
NAWM,log_pct_WMH,R2*,356,358,-0.37369341632412856,3.056268664922735e-13,-1179.955797011795,-0.3736934163241285,3.056268664922801e-13,-1142.4881603247118,-0.37182941881358605,3.5118731184914346e-13
NAWM,log_pct_WMH,g-ratio,356,358,0.5558454652588412,2.958621378956976e-30,110.72325968978484,0.5558454652588418,2.9586213789564685e-30,99.6814961056917,0.5258009387528421,7.684128875285823e-27
WMH,log_WMH_volume,FA,316,322,-0.04180041847829387,0.4590333623933408,-1.7989037822324354,-0.04180041847829385,0.4590333623933408,-4.405426214027177,-0.11192187399609545,0.04476400549165248
WMH,log_WMH_volume,ICVF,314,322,-0.08807227149461906,0.119364086060755,-4.091225993625246,-0.0880722714946193,0.11936408606075387,-7.2245038595848605,-0.1716222564670308,0.0019972737302815843
WMH,log_WMH_volume,ISOVF,318,322,0.497572318344978,2.7023130097643743e-21,16.062734292300558,0.4975723183449778,2.7023130097643743e-21,11.178985674447329,0.3682666156240487,8.858964736851099e-12
WMH,log_WMH_volume,MD,315,322,0.4408979311563534,2.0530540025763124e-16,9556.555584464406,0.4408979311563534,2.053054002576179e-16,7427.968280968348,0.3791570631117426,1.895781749216873e-12
WMH,log_WMH_volume,MT,314,322,0.09234919382456819,0.10238539108858372,2.0707946942040145,0.09234919382456819,0.10238539108858362,-1.0113894106489256,-0.057526601060999404,0.30342519575076377
WMH,log_WMH_volume,OD,315,322,0.046650221837731286,0.40930513971574456,2.268162297051635,0.04665022183773137,0.40930513971574345,-4.298963664047151,-0.10725904441181604,0.05451020647995077
WMH,log_WMH_volume,R1,314,322,-0.19343357496574543,0.0005677112317753813,-0.009448115210076486,-0.19343357496574534,0.0005677112317753858,-0.011281195965313224,-0.2760364960496164,4.850360245972959e-07
WMH,log_WMH_volume,R2*,316,322,-0.44651336069090686,6.860977107946914e-17,-646.3207443169899,-0.4465133606909069,6.860977107946964e-17,-566.83667312001,-0.4352864728301068,2.5547310706406414e-16
WMH,log_WMH_volume,g-ratio,313,322,-0.2487449442278015,8.454812185607633e-06,-23.270648070985427,-0.24874494422780194,8.454812185607333e-06,-16.74136398997639,-0.21388185265027487,0.00010977736298559064
