Metric,Min_dz,Min_BaseRegion,Min_Lobe,Min_pFDR,Max_dz,Max_BaseRegion,Max_Lobe,Max_pFDR
MT,-4.657378484442898,PVWM_frontal,frontal,2.301719978564315e-39,-1.9744695676143835,SWM_temporal,temporal,5.181992780076361e-11
R1,-4.86924919989037,PVWM_frontal,frontal,2.301719978564315e-39,-1.8061151262649837,SWM_temporal,temporal,7.761381490961337e-11
R2*,-3.2444979148883015,DWM_frontal,frontal,4.704708593697931e-32,-1.623580008033551,SWM_parietal,parietal,5.223580997879829e-21
ISOVF,0.601081818026444,DWM_occipital,occipital,7.660400151764142e-10,2.5285894985281354,DWM_frontal,frontal,1.4066232498930316e-31
ICVF,-4.121189220067714,PVWM_frontal,frontal,4.8857350307229145e-39,-1.100827542826482,SWM_temporal,temporal,6.286001718630786e-09
OD,-3.7100233572922456,SWM_occipital,occipital,4.925431295707399e-22,0.9770905703263173,PVWM_frontal,frontal,1.4448478015143216e-28
MD,1.7167808768497297,PVWM_parietal,parietal,8.695868930367906e-37,3.845097703470377,DWM_occipital,occipital,1.6795907464201502e-25
FA,-3.748438956071135,PVWM_frontal,frontal,4.8857350307229145e-39,0.4869231976719077,SWM_occipital,occipital,1.8963828138673537e-06
g-ratio,-0.9326319042041906,PVWM_frontal,frontal,3.70628810596151e-27,0.849963105769943,DWM_temporal,temporal,6.812371285472795e-08
