Metric,Beta_WMH,pFDR_WMH,Beta_NAWM,pFDR_NAWM
MTsat,0.09104962787276843,0.1228624693063011,-0.7308036570131288,4.718734245551931e-49
R1,-0.18813197695888603,0.0007299144408540635,-0.6461623410195781,9.28455220538791e-36
R2*,-0.43566412894002005,1.3721954215893337e-16,-0.374162009224322,2.9623704796074915e-11
ISOVF,0.4882910261774265,6.948804882251247e-21,0.7881108477506616,5.256502568979699e-60
ICVF,-0.08601720510138816,0.1342845968183491,-0.33957897703437273,2.090964992036093e-09
OD,0.045652377480647266,0.43338191264019965,0.4730275902611737,1.0742818203515065e-17
MD,0.4325008383139477,3.6954972046373623e-16,0.7224429515906283,4.144048940116102e-48
FA,-0.04080271586073272,0.4590333623933408,-0.6738845978635634,6.9683435583306055e-40
g-ratio,-0.24106657878817983,1.170666302622593e-05,0.5861344588204636,1.6750243635585853e-28
