Metric,Deg1_R2,Deg1_RMSE,Deg1_AIC,Deg1_BIC,Deg1_CV_RMSE,Deg1_CV_R2,Deg2_R2,Deg2_RMSE,Deg2_AIC,Deg2_BIC,Deg2_CV_RMSE,Deg2_CV_R2,Deg3_R2,Deg3_RMSE,Deg3_AIC,Deg3_BIC,Deg3_CV_RMSE,Deg3_CV_R2,Deg4_R2,Deg4_RMSE,Deg4_AIC,Deg4_BIC,Deg4_CV_RMSE,Deg4_CV_R2,Deg5_R2,Deg5_RMSE,Deg5_AIC,Deg5_BIC,Deg5_CV_RMSE,Deg5_CV_R2,Deg6_R2,Deg6_RMSE,Deg6_AIC,Deg6_BIC,Deg6_CV_RMSE,Deg6_CV_R2,Best_R2,Best_AIC,Best_BIC,Best_CV_RMSE,Best_CV_R2,Elbow_CV_RMSE,Ftest_Deg1_vs_Deg2_F,Ftest_Deg1_vs_Deg2_p,Ftest_Deg1_vs_Deg2_dfdiff,Ftest_Deg2_vs_Deg3_F,Ftest_Deg2_vs_Deg3_p,Ftest_Deg2_vs_Deg3_dfdiff,Ftest_Deg3_vs_Deg4_F,Ftest_Deg3_vs_Deg4_p,Ftest_Deg3_vs_Deg4_dfdiff,Ftest_Deg4_vs_Deg5_F,Ftest_Deg4_vs_Deg5_p,Ftest_Deg4_vs_Deg5_dfdiff,Ftest_Deg5_vs_Deg6_F,Ftest_Deg5_vs_Deg6_p,Ftest_Deg5_vs_Deg6_dfdiff
MT,0.6844774081633754,0.14930606560864523,-8371.33760021934,-8359.943357584774,0.14930279807627497,0.6839523598394323,0.7932778862776592,0.12085251411867393,-9300.463958517863,-9283.372594566015,0.12067938985985585,0.7925889928396491,0.7937513406414897,0.1207140409086192,-9303.512969411015,-9280.724484141883,0.12056412842479321,0.7930051447741694,0.8027591912163851,0.11804853679841511,-9399.848042912072,-9371.362436325659,0.11789255291495512,0.8019961252358415,0.8051966299702911,0.11731686632619005,-9425.229188116282,-9391.046460212587,0.1171611135750035,0.8044140744231416,0.8054237566462561,0.11724845487833503,-9425.798059110075,-9385.918209889096,0.11709330414366825,0.804632549567503,6,6,5,6,6,2,1157.361672949331,3.51195874414887e-204,1.0,5.045621605184456,0.024787183265632402,1.0,100.3354621951274,3.998846310194435e-23,1.0,27.477016967218063,1.7418195232036602e-07,1.0,2.5621989876584514,0.10959015679818615,1.0
R1,0.6807822676699431,68.01096395966727,18587.421953980305,18598.81619661487,68.04310062940422,0.680177952646231,0.8098868047065899,52.485768065992836,17448.227181110728,17465.318545062575,52.530229951321495,0.8091245859384906,0.809943986188538,52.47787424331056,17449.564772787362,17472.353258056493,52.52835533996539,0.8091419440966258,0.8183530323759063,51.30379628866313,17351.91596413972,17380.40157072613,51.35417255239604,0.8175573619276648,0.8209062302370143,50.94196174518495,17322.745458636615,17356.92818654031,50.99199409879719,0.8201080931672088,0.821166408834142,50.90494531141556,17321.544175726613,17361.42402494759,50.95532871870705,0.820363052302963,6,6,5,6,6,2,1493.325471203773,9.065182508358994e-250,1.0,0.6613045007180741,0.416187859367688,1.0,101.70648437071583,2.0632249364217898e-23,1.0,31.306630657301593,2.4780054042167575e-08,1.0,3.193427012073797,0.07407281260841274,1.0
R2*,0.5985205918864607,0.0019936416225194904,-27379.15751609195,-27367.763273457385,0.001993469134093073,0.5980182579705251,0.7330602495795782,0.0016256314008143509,-28275.86696694896,-28258.775602997113,0.001624861103954698,0.7328433287087666,0.7335568619240385,0.001624118541738401,-28277.96736357613,-28255.178878306997,0.0016237400755337882,0.7332020186936232,0.7377446401097416,0.0016113045778784255,-28310.85182215756,-28282.36621557115,0.0016109993740382744,0.7373551752768692,0.7389555012309098,0.001607580491261236,-28319.042235563153,-28284.859507659457,0.0016072632170842937,0.7385637000066024,0.739080544810971,0.0016071954195606877,-28318.097273814255,-28278.217424593277,0.0016068872407876758,0.7386861792799643,6,5,5,6,6,2,1108.3126690618615,3.81409318694209e-197,1.0,4.096761286502722,0.04308618819114164,1.0,35.08240471363475,3.658733819397666e-09,1.0,10.186198271266184,0.001434946326381781,1.0,1.051936345778513,0.30517456329691955,1.0
ISOVF,0.29616964221503805,0.051449575112296995,-12861.575733202475,-12850.212612477357,0.05141601989669159,0.2906120020382009,0.3091236109104025,0.05097391265755746,-12899.849449246873,-12882.804768159194,0.05094397207747327,0.3035823305461163,0.31569684076473425,0.05073084165392762,-12918.575282283735,-12895.849040833496,0.0507005047099421,0.31024492754363164,0.3232861264201047,0.05044874131707239,-12940.753880262075,-12912.346078449276,0.0504175497544415,0.31795878929592886,0.32539322154065986,0.050370138544805314,-12945.514949023649,-12911.425586848292,0.05033798352252945,0.32014235614402703,0.3257044990575769,0.05035851629223139,-12944.515539917385,-12904.744617379469,0.05032633231169363,0.32046435111115407,6,5,4,6,6,4,40.59386406651015,2.282279538670475e-10,1.0,20.786794877098274,5.420018545904715e-06,1.0,24.25785182402922,9.06439558466254e-07,1.0,6.752881524618273,0.00942324315629682,1.0,0.9975903934069469,0.3180060890797254,1.0
ICVF,0.7311999906906261,0.05008321088553852,-12978.28508802004,-12966.921967294922,0.050272591138115344,0.7278150083358492,0.7956193302471619,0.043671432063785806,-13570.281012728661,-13553.236331640983,0.04389263098781279,0.7918273738307438,0.7963965994846568,0.04358831071148652,-13576.541735969864,-13553.815494519626,0.0438163161378195,0.7925731368557095,0.7980484538827664,0.043411132489252685,-13592.202672763164,-13563.794870950365,0.04363957993486292,0.7942321077994379,0.798196864524358,0.04339517851852074,-13591.796483560316,-13557.70712138496,0.04362411812350413,0.7943762922349575,0.7982333670998013,0.04339125363546225,-13590.188671429569,-13550.417748891652,0.04362053762061299,0.7944101377073288,6,4,4,6,6,2,682.3926661389313,5.465651528083974e-131,1.0,8.261210891770576,0.004089644138812488,1.0,17.692169888300377,2.7028527329876372e-05,1.0,1.5899842505674886,0.2074644355742756,1.0,0.390956940694134,0.5318628412206322,1.0
OD,0.029460901384059213,0.04477613785261154,-13463.962527402044,-13452.599406676925,0.04477229719863671,0.024603804838825738,0.03021845761180042,0.044758659389412814,-13463.655424906186,-13446.610743818508,0.044759908885857756,0.025125344195225142,0.037010549797490855,0.04460164510730947,-13476.892942989361,-13454.166701539123,0.044604359415743255,0.03193667358928136,0.03979150656503794,0.044537197399853526,-13481.162831634112,-13452.755029821314,0.04453978313269305,0.03476937828654227,0.040199385325687675,0.044527737107357884,-13480.083953479478,-13445.994591304121,0.0445303500134653,0.03518408042265928,0.040330858190329666,0.044524687312664325,-13478.380945052308,-13438.610022514391,0.0445273716911437,0.035315426171818556,6,4,3,6,6,4,1.6912151462695821,0.19357927586836265,1.0,15.26297872395572,9.640212387515454e-05,1.0,6.264482692384737,0.01239143625127639,1.0,0.9187677805613044,0.33790589586361996,1.0,0.29605292919461945,0.5864236588298135,1.0
MD,0.6915416058105779,9.023390216254245e-05,-40377.6247804776,-40366.26165975248,9.047292064544924e-05,0.6880031510310517,0.7472590896799589,8.167877484413532e-05,-40807.53823963653,-40790.49355854885,8.196878447719887e-05,0.7434095182256415,0.7503982581298276,8.116994431786027e-05,-40832.63450853236,-40809.90826708212,8.147097645957023e-05,0.7465389987771267,0.7564585598729365,8.017849076124388e-05,-40883.92286832188,-40855.515066509084,8.048578671142543e-05,0.7526104254972313,0.7579233225804474,7.993701320504058e-05,-40895.00152031496,-40860.9121581396,8.024883806473735e-05,0.7540736521071099,0.7581498619332714,7.989960126172201e-05,-40895.0313204297,-40855.26039789178,8.021364919557378e-05,0.7542926030444588,6,6,5,6,6,2,477.2806761851903,8.827235325135332e-96,1.0,27.21599807203712,1.9928503437654346e-07,1.0,53.82423896116283,3.0852256861867e-13,1.0,13.08187557510758,0.00030499895059977344,1.0,2.024193764643703,0.15495539893353308,1.0
FA,0.5379372013694905,0.05327710792039218,-12710.229647745595,-12698.866527020476,0.053174439040167845,0.539243272452243,0.5946802689559691,0.049898674869584755,-12992.29096883987,-12975.246287752192,0.04979575483993452,0.595852622747665,0.5984741160710945,0.04966459668200805,-13010.679308346369,-12987.95306689613,0.04956368712107863,0.5995968723196587,0.602144690806903,0.049437069444363754,-13028.589363836314,-13000.181562023516,0.049332961487409496,0.603295652538287,0.6024683758299239,0.049416954977333144,-13028.353911729204,-12994.264549553847,0.04931271542446462,0.603618769661634,0.6025851785524852,0.04940969460032397,-13026.991006984439,-12987.220084446522,0.04930559903222873,0.6037327834710865,6,4,4,6,6,2,303.0909475052948,1.2312828888299107e-63,1.0,20.44671460977208,6.462720932962378e-06,1.0,19.955629521839356,8.334532709271355e-06,1.0,1.760380752681494,0.1847171454731724,1.0,0.6351315296571645,0.4255668078721321,1.0
g-ratio,0.024609920561665,0.023703964440300734,-16221.801833011903,-16210.438712286785,0.023723949838572005,0.018839051010501828,0.032979867220472414,0.02360204194586392,-16238.48599823601,-16221.441317148332,0.023630399611988005,0.026533093529387486,0.03567729268846864,0.0235691009522668,-16242.54191135067,-16219.815669900432,0.0236008619226184,0.028918528623353333,0.03733672530990828,0.023548813047017125,-16244.275878121793,-16215.868076308994,0.02358226061870907,0.03047812179754832,0.03907644775656727,0.023527524749246582,-16246.197426387696,-16212.10806421234,0.023561758144168478,0.03217043298561484,0.03918509179334051,0.023526194675947628,-16244.442558882907,-16204.67163634499,0.02356099422264968,0.03223177686934324,6,5,2,6,6,2,18.738942346765647,1.567177028392285e-05,1.0,6.053190149403352,0.013958822230948584,1.0,3.7285651738713237,0.05361986251654866,1.0,3.914234301879939,0.0480055642023477,1.0,0.2443548299070225,0.6211286132797061,1.0
