Metric,MostAgeSensitiveLayer,PctChangePerDecade,p_Age_FDR
ISOVF,Outer1,12.215352695387168,7.955317131437798e-16
ICVF,Center,4.406909520207435,0.17484429442973504
OD,Outer1,2.650747895333372,0.015758307158686837
MT,Center,-2.310748512749374,0.40618320856714113
g_ratio,Center,1.8724957013023094,0.01469738617286328
MD,Outer2,1.617444552660814,1.0008221348380181e-07
FA,Inner2,1.4555286666822704,0.29160273188055547
R2s,Outer3,-1.3221693413793443,5.22128857852756e-06
R1,Outer2,-1.1999833797628805,3.475859072910886e-08
