Metric,Beta_WMH,pFDR_WMH,Beta_NAWM,pFDR_NAWM
MTsat,0.062368927459281555,0.43050822921409815,-0.34151615243245453,1.450240717947796e-06
R1,-0.19848490528529322,0.003930861574715643,-0.3270279529406639,2.9752782052695273e-06
R2*,-0.43008642484760395,1.264630026257802e-10,-0.2638989962924394,0.00022871769586671164
ISOVF,0.04297633514774156,0.5781915258738087,0.333939089187657,2.099492235821058e-06
ICVF,-0.2470016097762226,0.000483192045203946,-0.35595325768462344,4.483305002795386e-07
OD,-0.19637015638931787,0.003930861574715643,-0.03153552588717892,0.6870017925176207
MD,0.14242003877269752,0.04318511371921398,0.4297901765033097,2.7963713888705067e-10
FA,-0.00850262107782302,0.8999685508819395,-0.2906673860419495,4.132261508233087e-05
g-ratio,-0.22329130197399294,0.001443705955529333,0.11315576834547524,0.13145218782308196
